Symbol,Security,GICS Sector,GICS Sub-Industry,Headquaters Location,Date first added,Founded
UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/2015,1967
UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,1977
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",########,1907
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",########,1997
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",########,1979
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/1994,1999
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1980
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",########,1948
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009,1998
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006,1995
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",########,1971
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",########,1983 (1877)
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",########,1989
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",########,1899
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York",,2019 (1952)
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",########,1961
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",########,1958
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,"Raleigh, North Carolina",########,2019
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,1982
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",########,1909
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",########,1967
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",########,1999 (1869)
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",########,1962
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",########,2014
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",########,1923
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,1968
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1958
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",########,1896
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",########,1852
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",########,1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",########,1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/2009,1970
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",########,1851
WRK,WestRock,Materials,Paper Packaging,"Atlanta, Georgia",,2015
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,1900
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,1911
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",########,1908
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/2016,2016
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",########,2002
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/1957,1909
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,1906
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",########,1984
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",########,2011
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",########,1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",########,1969
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/2001,1927
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",########,1873
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",########,1952
